,Accuracy,Precision,Recall,F1-Score
Random Forest,0.6496032761709751,0.6688388216128218,0.6496032761709751,0.6549160477054105
XGBoost,0.6429485538776555,0.6727409853036613,0.6429485538776555,0.6490870197278636
Gradient Boosting,0.6647043767596621,0.6484145866975868,0.6647043767596621,0.6427105885077777
AdaBoost,0.6567699001791656,0.6405334577085224,0.6567699001791656,0.6394045447165251
